no;dapil;partai;nama;jk;lokasi
58;aceh-besar;PDIP;SOPAN MUSTIKA;Laki-Laki;ACEH BESAR
59;aceh-besar;PDIP;CUT NOVI MARILAWATI;Perempuan;ACEH BESAR
71;aceh-besar;GERINDRA;Drs. H. ABDURRAHMAN AHMAD;Laki-Laki;KOTA BANDA ACEH
72;aceh-besar;GERINDRA;Ir. IKHWAN, MM;Laki-Laki;ACEH BESAR
75;aceh-besar;GERINDRA;EDWAR M. NUR, SE, MM;Laki-Laki;KOTA BANDA ACEH
82;aceh-besar;GERINDRA;REKI SAFARI;Laki-Laki;KOTA BANDA ACEH
85;aceh-besar;PARTAI GERAKAN PERUBAHAN INDONESIA;NAZARULLAH, S.Kom;Laki-Laki;ACEH BESAR
86;aceh-besar;PARTAI GERAKAN PERUBAHAN INDONESIA;ROSMAN JAYA. ST;Laki-Laki;KOTA BANDA ACEH
88;aceh-besar;GOLKAR;SYUKRI RAHMAT;Laki-Laki;ACEH BESAR
91;aceh-besar;GOLKAR;ANSARI MUHAMMAD, S.Pt, M.Si;Laki-Laki;ACEH BESAR
98;aceh-besar;GOLKAR;RABIATUL IQLIMA, S.Psi;Perempuan;KOTA BANDA ACEH
99;aceh-besar;HANURA;M. FAUZAN FEBRIANSYAH;Laki-Laki;KOTA BANDA ACEH
100;aceh-besar;HANURA;IQBAL IDRIS ALY;Laki-Laki;KOTA BANDA ACEH
101;aceh-besar;HANURA;NURUL FITRI;Perempuan;ACEH BESAR
102;aceh-besar;HANURA;IZWAR IDRIS;Laki-Laki;ACEH BESAR
103;aceh-besar;HANURA;SURYA DHARMA;Laki-Laki;KOTA BANDA ACEH
104;aceh-besar;HANURA;RIKHA CININTIA D;Perempuan;ACEH BESAR
105;aceh-besar;HANURA;NAZLI HERIMSYAH;Laki-Laki;KOTA BANDA ACEH
106;aceh-besar;HANURA;HILMIATI;Perempuan;KOTA BANDA ACEH
107;aceh-besar;HANURA;AL HUSNA;Perempuan;KOTA BANDA ACEH
108;aceh-besar;HANURA;Drh. FIRDAUS;Laki-Laki;ACEH BESAR
109;aceh-besar;HANURA;CUT RULLY MARVITA;Perempuan;ACEH BESAR
110;aceh-besar;PARTAI KEADILAN DAN PERSATUAN INDONESIA;INDRA PURI NYAK CUT, SE;Laki-Laki;KOTA BANDA ACEH
121;aceh-besar;PKS;KHAIRUL AMAL, SE;Laki-Laki;KOTA BANDA ACEH
122;aceh-besar;PKS;IRAWAN ABDULLAH, S.AG;Laki-Laki;ACEH BESAR
123;aceh-besar;PKS;RAHMAWATI, SH;Perempuan;ACEH BESAR
124;aceh-besar;PKS;MUKMINAN, SE;Laki-Laki;KOTA BANDA ACEH
125;aceh-besar;PKS;DRS.. ZULKIFLI HS, MM;Laki-Laki;KOTA BANDA ACEH
126;aceh-besar;PKS;dr. SAIDA NAFISAH;Perempuan;KOTA BANDA ACEH
127;aceh-besar;PKS;MOHD. ISA;Laki-Laki;KOTA BANDA ACEH
128;aceh-besar;PKS;ERLANDA JULIANSYAH PUTRA, SH, MH;Laki-Laki;ACEH BESAR
129;aceh-besar;PKS;CUT DEWI ZULIANA, SE;Perempuan;ACEH BESAR
130;aceh-besar;PKS;ZAINUDDIN, SE;Laki-Laki;KOTA BANDA ACEH
131;aceh-besar;PKS;RAUZALIA;Perempuan;KOTA BANDA ACEH
137;aceh-besar;PKB;SITI MURNI, S.Hi, MH;Perempuan;ACEH BESAR
143;aceh-besar;PNA;IRWANSYAH;Laki-Laki;KOTA BANDA ACEH
144;aceh-besar;PNA;DARWATI A GANI;Perempuan;KOTA BANDA ACEH
146;aceh-besar;PNA;DARMUDA;Laki-Laki;KOTA BANDA ACEH
147;aceh-besar;PNA;POCUT RACHMAWATI;Perempuan;KOTA BANDA ACEH
148;aceh-besar;PNA;MUHAMMAD ZAINI;Laki-Laki;KOTA BANDA ACEH
149;aceh-besar;PNA;MULIADI;Laki-Laki;ACEH BESAR
150;aceh-besar;PNA;SAFRUDDIN RAZALI;Laki-Laki;KOTA BANDA ACEH
151;aceh-besar;PNA;DITA TIARA SARI;Perempuan;KOTA BANDA ACEH
152;aceh-besar;PNA;NASRUDDIN;Laki-Laki;KOTA BANDA ACEH
153;aceh-besar;PNA;CUT ZAITUN MUNAR;Perempuan;ACEH BESAR
154;aceh-besar;PARTAI NASDEM;TEUKU IRWAN DJOHAN, ST;Laki-Laki;KOTA BANDA ACEH
160;aceh-besar;PARTAI NASDEM;KOMBES POL (Purn). H.M. HARUN HASYIM, SE, MH;Laki-Laki;KOTA BANDA ACEH
166;aceh-besar;PPP;H. MAHIRUL ATHAR, Spd.I;Laki-Laki;ACEH BESAR
167;aceh-besar;PPP;MUSANNIF;Laki-Laki;ACEH BESAR
168;aceh-besar;PPP;IRAWATI ARSYAD, S.Si., M.Si;Perempuan;KOTA BANDA ACEH
169;aceh-besar;PPP;TGK. FADLIL A. KARIM, SE, M.Si;Laki-Laki;ACEH BESAR
170;aceh-besar;PPP;Ir. SYAMSUL RIZAL;Laki-Laki;ACEH BESAR
171;aceh-besar;PPP;ABRIATI YUSUF;Perempuan;ACEH BESAR
172;aceh-besar;PPP;DRS. M. JABAR;Laki-Laki;ACEH BESAR
173;aceh-besar;PPP;IMAM MUNANDAR;Laki-Laki;ACEH BESAR
174;aceh-besar;PPP;RISMAWATI;Perempuan;PIDIE
175;aceh-besar;PPP;ATHIAH;Perempuan;KOTA BANDA ACEH
176;aceh-besar;PPP;FAJAR ANDI SAPUTRA, S.H;Laki-Laki;ACEH BESAR
179;aceh-besar;SIRA;ANI MUZIANI;Perempuan;KOTA BANDA ACEH
180;aceh-besar;SIRA;MUSTAQIM, S.Sos;Laki-Laki;ACEH BESAR
191;aceh-besar;PERINDO;M PAISAL AK PUTEH, SE;Laki-Laki;KOTA BANDA ACEH
192;aceh-besar;PERINDO;SYARIFUDDIN AHMAD LUBIS, A.Md;Laki-Laki;ACEH BESAR
193;aceh-besar;PERINDO;MARINDA, SE;Perempuan;ACEH BESAR
194;aceh-besar;PERINDO;DESI SAFRIATINUR;Perempuan;ACEH BESAR
195;aceh-besar;PERINDO;SUDIRMAN ALI, SH;Laki-Laki;ACEH BESAR
196;aceh-besar;PERINDO;DIKY JULIANDI, ST;Laki-Laki;ACEH BESAR
197;aceh-besar;PERINDO;SAFRINA, Ners;Perempuan;ACEH BESAR
198;aceh-besar;PERINDO;ARIEF SETIADI, SE;Laki-Laki;KOTA BANDA ACEH
201;aceh-besar;PAN;ZAKIYAH DRAZAT, S. Tr. Keb;Perempuan;ACEH BESAR
203;aceh-besar;PAN;LELI HERAWATI, A.Md;Perempuan;JAKARTA SELATAN
204;aceh-besar;PAN;MARGONINGSIH, SE;Perempuan;JAKARTA UTARA
211;aceh-besar;PARTAI BERKARYA;H. JUNAIDI, SE;Laki-Laki;KOTA BANDA ACEH
213;aceh-besar;PARTAI BERKARYA;DASLELIATI;Perempuan;KOTA BANDA ACEH
214;aceh-besar;PARTAI BERKARYA;H. SAYED FUAD ZAKARIA, SE;Laki-Laki;KOTA TANGERANG SELATAN
228;aceh-besar;DEMOKRAT;H. TEUKU RIEFKY HARSYA;Laki-Laki;JAKARTA SELATAN
229;aceh-besar;DEMOKRAT;M. TANWIER MAHDI, S.AG.MM;Laki-Laki;KOTA BANDA ACEH
230;aceh-besar;DEMOKRAT;ZAIYANA PUTRI, S.PD.M.PD;Perempuan;KOTA BANDA ACEH
231;aceh-besar;DEMOKRAT;M. ALI YAKOB;Laki-Laki;KOTA BANDA ACEH
232;aceh-besar;DEMOKRAT;T. ISKANDAR DAOD, SE,M.Si.Ak.;Laki-Laki;ACEH BARAT
233;aceh-besar;DEMOKRAT;IDARYANI, SE.M.Si;Perempuan;KOTA BANDA ACEH
234;aceh-besar;DEMOKRAT;RAHMIATI, SE.Ak;Perempuan;KOTA BANDA ACEH
238;aceh-besar;GERINDRA;Dra. HJ. ZULHAFAH;Perempuan;KOTA BANDA ACEH
242;aceh-besar;GERINDRA;Drs. H. SAYUTHI IS, MM;Laki-Laki;KOTA BANDA ACEH
243;aceh-besar;GERINDRA;CUT MEUTIA ADRINA;Perempuan;JAKARTA PUSAT
244;aceh-besar;PARTAI GERAKAN PERUBAHAN INDONESIA;FACHRUDDIN N;Laki-Laki;KOTA DEPOK
245;aceh-besar;PARTAI GERAKAN PERUBAHAN INDONESIA;DJUNAIDI;Laki-Laki;KOTA SUBULUSSALAM
246;aceh-besar;PARTAI GERAKAN PERUBAHAN INDONESIA;FITRI MULIANI;Perempuan;KOTA LANGSA
247;aceh-besar;GOLKAR;ANDI HS;Laki-Laki;JAKARTA TIMUR
251;aceh-besar;GOLKAR;Drs. H. SULAIMAN ABDA, M.Si;Laki-Laki;KOTA BANDA ACEH
252;aceh-besar;GOLKAR;Drs. H.T. ZULKARNAINI;Laki-Laki;NAGAN RAYA
253;aceh-besar;GOLKAR;NENI RUMIANTI DAULAY, S.E.;Perempuan;KOTA BANDA ACEH
255;aceh-besar;HANURA;IBNU RUSDI, S.E;Laki-Laki;KOTA BANDA ACEH
256;aceh-besar;HANURA;ROHAYA;Perempuan;ACEH BESAR
257;aceh-besar;HANURA;ZULKARNAINI;Laki-Laki;KOTA BANDA ACEH
258;aceh-besar;HANURA;ROSNANI DJAKFAR;Perempuan;KOTA BANDA ACEH
259;aceh-besar;HANURA;AGUSNIN ARIF;Laki-Laki;ACEH BESAR
260;aceh-besar;HANURA;AZIZAH;Perempuan;ACEH BESAR
261;aceh-besar;PARTAI KEADILAN DAN PERSATUAN INDONESIA;ARIZAN, S.H.;Laki-Laki;ACEH SELATAN
262;aceh-besar;PARTAI KEADILAN DAN PERSATUAN INDONESIA;HAMIDIN MUHAMMAD;Laki-Laki;KOTA BANDA ACEH
264;aceh-besar;PARTAI KEADILAN DAN PERSATUAN INDONESIA;PASMAH PUTRA ANDRY AGUNG, M.M.;Laki-Laki;KOTA BANDA ACEH
265;aceh-besar;PARTAI KEADILAN DAN PERSATUAN INDONESIA;ERMANITA;Perempuan;ACEH BESAR
266;aceh-besar;PKS;GHUFRAN;Laki-Laki;KOTA BANDA ACEH
267;aceh-besar;PKS;RAFLI;Laki-Laki;ACEH BESAR
269;aceh-besar;PKS;H. MUHAMMAD RIZAL;Laki-Laki;KOTA BEKASI
270;aceh-besar;PKS;ANGGARDA PARAMITA, S.Pd;Perempuan;ACEH TENGGARA
271;aceh-besar;PKS;DEVI ARIANI, S.SOS;Perempuan;ACEH BARAT
272;aceh-besar;PKS;M. YUNUS AZHARI, SH;Laki-Laki;ACEH BARAT
273;aceh-besar;PKB;H. IRMAWAN, S.Sos, MM;Laki-Laki;KOTA BANDA ACEH
275;aceh-besar;PKB;MAHDALENA;Perempuan;ACEH BESAR
276;aceh-besar;PKB;T. NASRUDDIN;Laki-Laki;ACEH SELATAN
279;aceh-besar;PKB;SUHARNI BUSTAMI, S.Pd;Perempuan;KOTA BANDA ACEH
280;aceh-besar;PARTAI NASDEM;H ZAINI DJALIL, SH;Laki-Laki;KOTA BANDA ACEH
281;aceh-besar;PARTAI NASDEM;TGK. ANWAR, S.PD., MM;Laki-Laki;PIDIE
282;aceh-besar;PARTAI NASDEM;Hj. DRA. MEDIATI HAFNI HANUM, SH,. Mkn;Perempuan;KOTA BANDA ACEH
283;aceh-besar;PARTAI NASDEM;DESI FITRIANI, S.Sos;Perempuan;KOTA DEPOK
284;aceh-besar;PARTAI NASDEM;IRSAN SOSIAWAN;Laki-Laki;JAKARTA PUSAT
285;aceh-besar;PARTAI NASDEM;IR. JUFRI HASANUDDIN, MM;Laki-Laki;ACEH BARAT DAYA
286;aceh-besar;PARTAI NASDEM;Dra. NURHUSNA RAZALI, M.Pd;Perempuan;ACEH BESAR
287;aceh-besar;PPP;AMRI M ALI;Laki-Laki;KOTA BANDA ACEH
288;aceh-besar;PPP;T ZULFIKAR THAIB ALY, SH;Laki-Laki;JAKARTA SELATAN
290;aceh-besar;PPP;IBNU AQIL;Laki-Laki;ACEH BESAR
291;aceh-besar;PPP;H. RUSYDI AW;Laki-Laki;PIDIE
293;aceh-besar;PSI;DRS. H ANHARUDDIN, SE, MM;Laki-Laki;KOTA SUBULUSSALAM
297;aceh-besar;PSI;NUR MAILIS;Perempuan;KOTA SUBULUSSALAM
298;aceh-besar;PSI;AHMAD NABIL;Laki-Laki;ACEH BESAR
301;aceh-besar;PERINDO;ZULKARNAIN, S.E., M.M;Laki-Laki;JAKARTA BARAT
302;aceh-besar;PERINDO;SELFIA NINGSIH, S.Pd;Perempuan;ACEH TENGGARA
304;aceh-besar;PERINDO;MONICA OVIANANDA, A.MD.;Perempuan;KOTA BANDA ACEH
306;aceh-besar;PERINDO;CITRA LEVIONITA ANDREAN;Perempuan;KOTA TANGERANG SELATAN
307;aceh-tengah;PA;ISMUDDIN;Laki-Laki;ACEH TENGAH
308;aceh-tengah;PA;HUSNI JALIL;Laki-Laki;BENER MERIAH
309;aceh-tengah;PA;ZUHRA;Perempuan;KOTA BANDA ACEH
310;aceh-tengah;PA;TGK. MUHAMMAD AMIN;Laki-Laki;BENER MERIAH
311;aceh-tengah;PA;MUSTAWA AGUSTINA;Perempuan;BENER MERIAH
312;aceh-tengah;PA;ERWINSYAH, SE, Ak;Laki-Laki;ACEH TENGAH
317;aceh-tengah;PAN;FADLI ULFA;Laki-Laki;ACEH TENGAH
326;aceh-tengah;PDIP;FARIZ REZA FIRMANDEZ, SST.Par;Laki-Laki;JAKARTA SELATAN
327;aceh-tengah;PDIP;YUNIA SHOFIASTI, ST., MT;Perempuan;KOTA BANDA ACEH
328;aceh-tengah;PDIP;SARIM MUNAWAR;Laki-Laki;ACEH TENGAH
329;aceh-tengah;PDIP;KHAIRUDDIN;Laki-Laki;ACEH TENGAH
330;aceh-tengah;PDIP;MUHAMMAD RIDWAN;Laki-Laki;ACEH TENGAH
331;aceh-tengah;PDIP;NURSYAMSINAR;Perempuan;ACEH TENGAH
348;aceh-tengah;GOLKAR;DJULIATI;Perempuan;BENER MERIAH
353;aceh-tengah;HANURA;Drs. SALIMIN SULAIMAN;Laki-Laki;KOTA BANDA ACEH
354;aceh-tengah;HANURA;NURDIN ALI, ST;Laki-Laki;ACEH TENGAH
355;aceh-tengah;HANURA;DEKALIA YULISTIANI;Perempuan;BENER MERIAH
356;aceh-tengah;HANURA;URIES SAMADIN;Laki-Laki;ACEH TENGAH
357;aceh-tengah;HANURA;NURMALA WATI;Perempuan;BENER MERIAH
358;aceh-tengah;HANURA;RAMDANA;Laki-Laki;BENER MERIAH
359;aceh-tengah;PKS;BARDAN SAHIDI;Laki-Laki;ACEH TENGAH
360;aceh-tengah;PKS;ISTARANI, S.AG;Laki-Laki;KOTA MEDAN
361;aceh-tengah;PKS;WAHYU MUSLIMAH;Perempuan;ACEH TENGAH
362;aceh-tengah;PKS;HASANUDIN;Laki-Laki;ACEH TENGAH
363;aceh-tengah;PKS;IRMA YANTI;Perempuan;ACEH BESAR
364;aceh-tengah;PKS;IHSANUDDIN;Laki-Laki;ACEH TENGAH
365;aceh-tengah;PKB;SALIHIN;Laki-Laki;BENER MERIAH
366;aceh-tengah;PKB;ALAMSYAH MAHMUD GAYO, SH. MM;Laki-Laki;KOTA BEKASI
368;aceh-tengah;PKB;JUSRIADI;Laki-Laki;BENER MERIAH
369;aceh-tengah;PKB;LOFINA WILFA;Perempuan;BENER MERIAH
370;aceh-tengah;PNA;LIGA DINSYAH;Laki-Laki;ACEH TENGAH
371;aceh-tengah;PNA;WAHYUNI;Perempuan;ACEH TENGAH
372;aceh-tengah;PNA;TATI GUSTINA;Perempuan;ACEH TENGAH
373;aceh-tengah;PNA;SUTERISNO, M.AP;Laki-Laki;BENER MERIAH
374;aceh-tengah;PNA;BASRI ARITA, ST;Laki-Laki;ACEH TENGAH
375;aceh-tengah;PNA;ANDA SUHADA;Laki-Laki;JAKARTA SELATAN
377;aceh-tengah;PARTAI NASDEM;FAUZAN ALIA;Laki-Laki;KOTA BANDA ACEH
382;aceh-tengah;PPP;Drs. BUDI YAZIR;Laki-Laki;ACEH TENGAH
383;aceh-tengah;PPP;RAMIANTI;Perempuan;ACEH TENGAH
384;aceh-tengah;PPP;BUDIYONO, S.Hut;Laki-Laki;ACEH TENGAH
385;aceh-tengah;PPP;NURDIN SUPI;Laki-Laki;ACEH TENGAH
386;aceh-tengah;PPP;KASMAN;Laki-Laki;ACEH TENGAH
387;aceh-tengah;PPP;ERNAWATI;Perempuan;ACEH TENGAH
390;aceh-tengah;SIRA;AFRILIZA AMALIA SIREGAR;Perempuan;ACEH TENGAH
393;aceh-tengah;PSI;IPAK MAHTAWARMI;Perempuan;ACEH TENGAH
394;aceh-tengah;PERINDO;MAIDA SARI;Perempuan;ACEH BESAR
395;aceh-tengah;PERINDO;YENTI PASARIBU;Perempuan;KOTA BANDA ACEH
413;aceh-tengah;PBB;MAWARDI ABDULLAH, M.M.;Laki-Laki;JAKARTA SELATAN
424;aceh-tengah;DEMOKRAT;MUSLIM, SHI.MM;Laki-Laki;JAKARTA SELATAN
425;aceh-tengah;DEMOKRAT;MIRNAWATI;Perempuan;KOTA LANGSA
426;aceh-tengah;DEMOKRAT;HAMDAN SATI, ST;Laki-Laki;ACEH TAMIANG
427;aceh-tengah;DEMOKRAT;JAMALUDDIN T MUKU;Laki-Laki;KOTA BANDA ACEH
428;aceh-tengah;DEMOKRAT;KAUTSAR MUHAMMAD YUS;Laki-Laki;KOTA BANDA ACEH
429;aceh-tengah;DEMOKRAT;PINUS YANI;Perempuan;ACEH BESAR
434;aceh-tengah;GERINDRA;FERRY MUNANDAR, ST;Laki-Laki;KOTA BANDA ACEH
435;aceh-tengah;GERINDRA;Ir. H. NASARUDDIN, MM;Laki-Laki;ACEH TENGAH
437;aceh-tengah;PARTAI GERAKAN PERUBAHAN INDONESIA;AGUSTIAWAN NUR, SE;Laki-Laki;KOTA LHOKSEUMAWE
438;aceh-tengah;PARTAI GERAKAN PERUBAHAN INDONESIA;TGK. MUNTAHA;Laki-Laki;ACEH UTARA
439;aceh-tengah;PARTAI GERAKAN PERUBAHAN INDONESIA;WARDANI MARLINA, SE;Perempuan;BOGOR
440;aceh-tengah;GOLKAR;ILHAM PANGESTU;Laki-Laki;KOTA LANGSA
441;aceh-tengah;GOLKAR;DRS. H. MARZUKI DAUD;Laki-Laki;JAKARTA TIMUR
442;aceh-tengah;GOLKAR;CUT RIZKA SEPTIANI, M.Si;Perempuan;JAKARTA SELATAN
443;aceh-tengah;GOLKAR;FIRMANDEZ, S.E., Ak.;Laki-Laki;JAKARTA SELATAN
444;aceh-tengah;GOLKAR;REDUK NILAWARNI, S.Pd;Perempuan;JAKARTA TIMUR
445;aceh-tengah;GOLKAR;T. YUSNI;Laki-Laki;ACEH TAMIANG
446;aceh-tengah;HANURA;MIRWAN AMIR;Laki-Laki;JAKARTA SELATAN
447;aceh-tengah;HANURA;SARA NAIDU;Perempuan;JAKARTA SELATAN
448;aceh-tengah;HANURA;TATA MOEDA TAQWA;Laki-Laki;KOTA LANGSA
449;aceh-tengah;HANURA;ALAMSYAH;Laki-Laki;ACEH TENGAH
450;aceh-tengah;HANURA;MAULIZA WULANDARI;Perempuan;KOTA LHOKSEUMAWE
451;aceh-tengah;HANURA;SANDY PANGESTU;Laki-Laki;BENER MERIAH
452;aceh-tengah;PARTAI KEADILAN DAN PERSATUAN INDONESIA;USWATUN CHASANAH;Perempuan;SUKOHARJO
454;aceh-tengah;PKS;TGK. H. MUHAMMAD NUR, M. Si;Laki-Laki;ACEH UTARA
457;aceh-tengah;PKS;BARMANSYAH;Laki-Laki;JAKARTA SELATAN
458;aceh-tengah;PKS;M. YUSUF ISMAIL PASE, SH, MH;Laki-Laki;KOTA LHOKSEUMAWE
461;aceh-tengah;PKB;SAYUTI, SH.MH;Laki-Laki;JAKARTA SELATAN
462;aceh-tengah;PKB;SRI ARIANA NINGSIH;Perempuan;KOTA BANDA ACEH
463;aceh-tengah;PKB;RUSLAN M. DAUD;Laki-Laki;BIREUEN
464;aceh-tengah;PKB;RAHMI ABDI;Perempuan;ACEH BESAR
465;aceh-tengah;PKB;FAISAL RIDHA, S.Ag., MM;Laki-Laki;ACEH BESAR
466;aceh-tengah;PARTAI NASDEM;ZULFAN LINDAN;Laki-Laki;JAKARTA SELATAN
467;aceh-tengah;PARTAI NASDEM;MUHARUDDIN;Laki-Laki;KOTA BANDA ACEH
470;aceh-tengah;PARTAI NASDEM;DR. IBRAHIM HASYIM SE, MM;Laki-Laki;JAKARTA BARAT
476;aceh-tengah;PPP;JAMALUDIN, SE;Laki-Laki;ACEH UTARA
478;aceh-tengah;PSI;KAMARUDDIN, SH;Laki-Laki;ACEH TAMIANG
484;aceh-tengah;PERINDO;GIVIANNA ELY;Perempuan;ACEH BESAR
485;aceh-tengah;PERINDO;HERMAN KOSASIH;Laki-Laki;KOTA BANDA ACEH
486;aceh-tengah;PERINDO;HERMAN BAHARI, S.H;Laki-Laki;ACEH TAMIANG
487;aceh-tengah;PERINDO;RAZALI ZAINUDDIN, A.Md.;Laki-Laki;ACEH UTARA
488;aceh-tengah;PERINDO;NURHAYATI;Perempuan;BIREUEN
490;aceh-utara;PA;TARMIZI;Laki-Laki;ACEH UTARA
491;aceh-utara;PA;TAUFIK RIZAL YAHYA;Laki-Laki;KOTA BANDA ACEH
492;aceh-utara;PA;CUT ITA MASYITAH;Perempuan;KOTA LHOKSEUMAWE
493;aceh-utara;PA;ISMAIL A. JALIL, SE;Laki-Laki;ACEH UTARA
494;aceh-utara;PA;RIYANTI, A.Ma.Pd.SD;Perempuan;ACEH UTARA
495;aceh-utara;PA;ABDUL MUTALEB, S.Sos, M.A.P;Laki-Laki;ACEH UTARA
496;aceh-utara;PA;M. JUAINI;Laki-Laki;KOTA LHOKSEUMAWE
497;aceh-utara;PA;MAWARDI M, SE;Laki-Laki;ACEH UTARA
498;aceh-utara;PA;CUT MEUTIA, SH, MH;Perempuan;ACEH BESAR
499;aceh-utara;PA;SAIFUL BAHRI;Laki-Laki;ACEH UTARA
500;aceh-utara;PA;YUSNI;Laki-Laki;ACEH UTARA
501;aceh-utara;PA;NURMALAHAYATI, S. Pd;Perempuan;KOTA LHOKSEUMAWE
508;aceh-utara;PAN;MUKSALMINA;Laki-Laki;ACEH UTARA
512;aceh-utara;PAN;FITRIANI ISHAK;Perempuan;ACEH UTARA
513;aceh-utara;PAN;FAISAL;Laki-Laki;KOTA LHOKSEUMAWE
529;aceh-utara;PDA;WALI YUNIS;Laki-Laki;ACEH UTARA
531;aceh-utara;PDA;IDA SUSANTI, S.EI;Perempuan;ACEH UTARA
534;aceh-utara;PDA;AYU NITA;Perempuan;KOTA LHOKSEUMAWE
535;aceh-utara;PDA;MARZUKI;Laki-Laki;ACEH UTARA
537;aceh-utara;PDA;WIRNA SARI;Perempuan;ACEH BESAR
539;aceh-utara;PDA;NOVIANTY, S.Pd;Perempuan;KOTA LHOKSEUMAWE
541;aceh-utara;PDIP;SANUSI;Laki-Laki;ACEH UTARA
542;aceh-utara;PDIP;AZWAR SYAMURNI;Laki-Laki;ACEH UTARA
543;aceh-utara;PDIP;YUSRA;Perempuan;ACEH UTARA
544;aceh-utara;PDIP;MUHAMMAD IHSAN;Laki-Laki;KOTA LHOKSEUMAWE
545;aceh-utara;PDIP;FADIL AL MUFIDA;Laki-Laki;ACEH BESAR
546;aceh-utara;PDIP;IRNAWATI;Perempuan;KOTA LHOKSEUMAWE
548;aceh-utara;DEMOKRAT;M. HASBI, S.Sos. MSM.;Laki-Laki;KOTA LHOKSEUMAWE
549;aceh-utara;DEMOKRAT;DAENG ERTIKA SARI M;Perempuan;KOTA LHOKSEUMAWE
553;aceh-utara;DEMOKRAT;RIKA ANJULI, Amd. Kep.;Perempuan;KOTA LHOKSEUMAWE
555;aceh-utara;DEMOKRAT;MUHAMMAD KAMAL, SE.;Laki-Laki;KOTA LHOKSEUMAWE
558;aceh-utara;DEMOKRAT;JULIANA;Perempuan;KOTA LHOKSEUMAWE
559;aceh-utara;DEMOKRAT;EKA JULIANA;Perempuan;ACEH UTARA
561;aceh-utara;GERINDRA;JUNAIDI YAHYA;Laki-Laki;KOTA LHOKSEUMAWE
565;aceh-utara;GERINDRA;FATMA SARI BEWI;Perempuan;ACEH UTARA
566;aceh-utara;GERINDRA;ABDUL MUKTI;Laki-Laki;ACEH UTARA
568;aceh-utara;GERINDRA;MAULIDAR;Perempuan;ACEH UTARA
569;aceh-utara;GERINDRA;SAIFUL AFWADI;Laki-Laki;ACEH UTARA
570;aceh-utara;GERINDRA;INTAN HUMAIRA;Perempuan;ACEH UTARA
572;aceh-utara;PARTAI GERAKAN PERUBAHAN INDONESIA;DAYAN ABDULKARIM;Laki-Laki;KOTA LHOKSEUMAWE
573;aceh-utara;PARTAI GERAKAN PERUBAHAN INDONESIA;ANTONI ZULKARNAINI, SH;Laki-Laki;KOTA LHOKSEUMAWE
579;aceh-utara;GOLKAR;SAYUTI M.NUR;Laki-Laki;KOTA BANDA ACEH
584;aceh-utara;GOLKAR;MUHAMMAD ICHSAN, S.T;Laki-Laki;KOTA LHOKSEUMAWE
