dapil,partai,agama
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tengah-1,PARTAI HATI NURANI RAKYAT,-
cirebon,PARTAI BERKARYA,Islam
kota-banda-aceh,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
majalengka,PARTAI GERAKAN INDONESIA RAYA,Hindu
rote-ndao,PARTAI AMANAT NASIONAL,Islam
sikka,PARTAI BERKARYA,Katolik
sumba-tengah,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-7,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-6,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jambi-2,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-7,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-1,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-8,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI BERKARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-1,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI KEBANGKITAN BANGSA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-1,PARTAI GERAKAN INDONESIA RAYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-1,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI DEMOKRAT,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-3,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-3,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-3,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-barat-5,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI KEADILAN DAN PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-3,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-1,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-2,PARTAI SOLIDARITAS INDONESIA,-
ende,PARTAI BERKARYA,Lainnya
rote-ndao,PARTAI KEBANGKITAN BANGSA,Katolik
subang,PARTAI NASDEM,Islam
sumba-barat-daya,PARTAI GOLONGAN KARYA,Katolik
sumba-tengah,PARTAI GOLONGAN KARYA,Kristen Protestan
sumba-tengah,PARTAI KEBANGKITAN BANGSA,Lainnya
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-10,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-5,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-12,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-4,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-1,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-2,PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-7,PARTAI AMANAT NASIONAL,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI BERKARYA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-7,PARTAI GOLONGAN KARYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-2,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-2,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-7,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-11,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-11,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-8,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-utara-6,PARTAI NASDEM,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-2,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI KEADILAN SEJAHTERA,Islam
bener-meriah,PARTAI HATI NURANI RAKYAT,-
manggarai-timur,PARTAI GERAKAN PERUBAHAN INDONESIA,-
purwakarta,PARTAI GERAKAN INDONESIA RAYA,-
sumedang,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-9,PARTAI ACEH,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-14,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-4,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-timur-4,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-utara-2,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-6,PARTAI KEADILAN SEJAHTERA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-6,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-2,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI HATI NURANI RAKYAT,Islam
aceh-utara,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
kota-kupang,PARTAI DEMOKRAT,Kristen Protestan
kota-kupang,PARTAI NASDEM,Kristen Protestan
kota-sabang,PARTAI PERSATUAN PEMBANGUNAN,Islam
sumba-timur,PARTAI GERAKAN PERUBAHAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-aceh-6,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI HATI NURANI RAKYAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-1,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-5,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-3,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-1,PARTAI GOLONGAN KARYA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-7,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-1,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-7,PARTAI SOLIDARITAS INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-2,PARTAI NASDEM,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-1,PARTAI DEMOKRAT,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-7,PARTAI PERSATUAN PEMBANGUNAN,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-lampung-8,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI SOLIDARITAS INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-riau-3,PARTAI KEADILAN DAN PERSATUAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI KEBANGKITAN BANGSA,Islam
bogor,PARTAI NASDEM,-
subang,PARTAI PERSATUAN PEMBANGUNAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-5,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-2,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-gorontalo-2,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-10,PARTAI NASDEM,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-2,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-8,PARTAI DEMOKRASI INDONESIA PERJUANGAN,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-5,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-10,PARTAI SOLIDARITAS INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-riau-2,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-6,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-6,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-9,PERSATUAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-tenggara-2,PARTAI GERAKAN INDONESIA RAYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-selatan-3,PARTAI DEMOKRAT,-
aceh-utara,PARTAI NASDEM,Islam
ende,PARTAI GOLONGAN KARYA,Katolik
majalengka,PARTAI BULAN BINTANG,Islam
manggarai-barat,PARTAI GOLONGAN KARYA,Islam
sumba-timur,PARTAI HATI NURANI RAKYAT,Kristen Protestan
wajo,PARTAI BERKARYA,Lainnya
wajo,PARTAI BULAN BINTANG,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bali-5,PARTAI AMANAT NASIONAL,Hindu
calon-legislatif-dprd-provinsi-daerah-pemilihan-banten-3,PARTAI KEBANGKITAN BANGSA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-2,PERSATUAN INDONESIA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-barat-6,PARTAI KEADILAN SEJAHTERA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-6,PARTAI AMANAT NASIONAL,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-kalimantan-selatan-6,PERSATUAN INDONESIA,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-kepulauan-bangka-belitung-1,PARTAI GERAKAN PERUBAHAN INDONESIA,Islam
calon-legislatif-dprd-provinsi-daerah-pemilihan-maluku-utara-2,PARTAI GERAKAN INDONESIA RAYA,Kristen Protestan
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-1,PARTAI NASDEM,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-nusa-tenggara-timur-3,PARTAI DEMOKRAT,Katolik
calon-legislatif-dprd-provinsi-daerah-pemilihan-sumatera-barat-6,PARTAI NASDEM,Islam
kota-depok,PARTAI GERAKAN INDONESIA RAYA,-
pidie,PARTAI GOLONGAN KARYA,-
sabu-raijua,PARTAI BULAN BINTANG,-
sumba-barat-daya,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-bengkulu-7,PARTAI BULAN BINTANG,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-daerah-istimewa-yogyakarta-6,PARTAI DEMOKRAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-dki-jakarta-7,PARTAI DEMOKRASI INDONESIA PERJUANGAN,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-barat-9,PARTAI GOLONGAN KARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-tengah-2,PARTAI KEBANGKITAN BANGSA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-jawa-timur-7,PARTAI GERAKAN PERUBAHAN INDONESIA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-papua-barat-3,PARTAI BERKARYA,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-barat-1,PARTAI HATI NURANI RAKYAT,-
calon-legislatif-dprd-provinsi-daerah-pemilihan-sulawesi-selatan-4,PARTAI BULAN BINTANG,-
